RFM_SUPPLY_TIERS_1,RFM_SUPPLY_TIERS_2,RFM_SUPPLY_TIERS_3,ConsumeFuelTier
All_DistOil,2020,0,0.0
All_DistOil,2030,0,0.0
All_NG,2020,0,140470.534861599
All_NG,2020,1,0.0
All_NG,2030,0,0.0
All_NG,2030,1,0.0
Central_Coal,2020,0,671889.240662312
Central_Coal,2030,0,1536462.79548879
Central_ResidualFuelOil,2020,0,0.0
Central_ResidualFuelOil,2030,0,0.0
Central_Uranium,2020,0,0.0
Central_Uranium,2030,0,0.0
North_Bio,2020,0,0.0
North_Bio,2020,1,0.0
North_Bio,2030,0,0.0
North_Bio,2030,1,0.0
North_Coal,2020,0,133488.282528
North_Coal,2030,0,0.0
North_ResidualFuelOil,2020,0,0.0
North_ResidualFuelOil,2030,0,0.0
North_Uranium,2020,0,0.0
North_Uranium,2030,0,0.0
South_Bio,2020,0,0.0
South_Bio,2020,1,0.0
South_Bio,2030,0,0.0
South_Bio,2030,1,0.0
South_ResidualFuelOil,2020,0,0.0
South_ResidualFuelOil,2030,0,0.0
South_Uranium,2020,0,0.0
South_Uranium,2030,0,0.0
