load_zone,timestamp,ZoneTotalCentralDispatch,TXPowerNet,WithdrawFromCentralGrid
North,2025011500,5.27983,0,5.27983
North,2025011512,3.51426,0.709609,4.22386
North,2025011600,4.65048,0.101373,4.75185
North,2025011612,4.02957,0.405491,4.43506
North,2025061500,4.22386,0,4.22386
North,2025061512,6.3358,0,6.3358
North,2035011512,6.3358,0,6.3358
Central,2025011500,3.90707,0,3.90707
Central,2025011512,3.90707,-0.739176,3.1679
Central,2025011600,3.90707,-0.105597,3.80148
Central,2025011612,3.90707,-0.422386,3.48469
Central,2025061500,3.90707,-0.739176,3.1679
Central,2025061512,5.36633,-1.14247,4.22386
Central,2035011512,13.5616,-8.70415,4.85744
South,2025011500,6.3358,0,6.3358
South,2025011512,7.39176,0,7.39176
South,2025011600,6.86378,0,6.86378
South,2025011612,7.60296,0,7.60296
South,2025061500,7.7529,0.694826,8.44773
South,2025061512,9.48574,1.07392,10.5597
South,2035011512,2.90574,8.1819,11.0876
