TRANS_TIMEPOINTS_1,TRANS_TIMEPOINTS_2,TRANS_TIMEPOINTS_3,DispatchTx
Central,North,1,2.72838572438182
Central,North,2,1.62842092325546
Central,North,3,2.17840332381864
Central,North,4,1.84841388348073
Central,North,5,1.62842092325545
Central,North,6,0.0
Central,North,7,0.0
Central,South,1,0.0661361186520743
Central,South,2,2.49615365320123
Central,South,3,0.721715140123381
Central,South,4,1.99630060444318
Central,South,5,1.90527726613535
Central,South,6,3.14246791575861
Central,South,7,6.42827225486068
North,Central,1,0.0
North,Central,2,0.0
North,Central,3,0.0
North,Central,4,0.0
North,Central,5,0.0
North,Central,6,0.0
North,Central,7,0.0
South,Central,1,0.0
South,Central,2,0.0
South,Central,3,0.0
South,Central,4,0.0
South,Central,5,0.0
South,Central,6,0.0
South,Central,7,0.0
