gen_tech,gen_load_zone,gen_energy_source,period,Energy_GWh_typical_yr,VariableCost_per_yr,DispatchEmissions_tCO2_per_typical_yr
Biomass_IGCC,Central,BioSolid,2020,0.0,0.0,0.0
Biomass_IGCC,Central,BioSolid,2030,0.0,0.0,0.0
Biomass_IGCC,North,BioSolid,2020,0.0,0.0,0.0
Biomass_IGCC,North,BioSolid,2030,0.0,0.0,0.0
Biomass_IGCC,South,BioSolid,2020,0.0,0.0,0.0
Biomass_IGCC,South,BioSolid,2030,42.995655115006194,719747.2666252037,0.0
Biomass_IGCC_CCS,North,BioSolid,2030,0.0,0.0,0.0
Biomass_IGCC_CCS,South,BioSolid,2030,0.0,0.0,0.0
Central_PV,Central,Solar,2020,0.0,0.0,0.0
Central_PV,Central,Solar,2030,17.2672668,0.0,0.0
Central_PV,North,Solar,2020,0.0,0.0,0.0
Central_PV,North,Solar,2030,0.0,0.0,0.0
Central_PV,South,Solar,2020,0.0,0.0,0.0
Central_PV,South,Solar,2030,0.0,0.0,0.0
Coal_IGCC,Central,Coal,2020,1.6443450150006673,8000.988200189647,1248.689294871265
Coal_IGCC,Central,Coal,2030,1.6443495169842868,8001.010105761463,1248.6927136055938
Coal_IGCC,North,Coal,2020,0.0,0.0,0.0
Coal_IGCC,North,Coal,2030,0.0,0.0,0.0
Coal_IGCC_CCS,North,Coal,2030,14.132472319883094,139317.91212940754,2101.846858084572
Coal_ST,Central,Coal,2020,14.832031392000001,53395.31301120001,13459.17856635648
Coal_ST,North,Coal,2020,14.832031392000001,50428.9067328,12750.80074707456
Coal_ST,North,Coal,2030,14.832072,50429.044799999996,12750.835656959998
Commercial_PV,Central,Solar,2020,0.0,0.0,0.0
Commercial_PV,Central,Solar,2030,2.4053904,0.0,0.0
Commercial_PV,North,Solar,2020,0.0,0.0,0.0
Commercial_PV,North,Solar,2030,0.0,0.0,0.0
Commercial_PV,South,Solar,2020,0.0,0.0,0.0
Commercial_PV,South,Solar,2030,0.0,0.0,0.0
Geothermal,North,Geothermal,2020,8.490555608561984,244782.718194842,0.0
Geothermal,North,Geothermal,2030,8.4905788545,244783.388375235,0.0
Geothermal,South,Geothermal,2020,25.471666825686,881217.7855014327,0.0
Geothermal,South,Geothermal,2030,25.4717365635,881220.1981508458,0.0
NG_CC,Central,NaturalGas,2020,15.530487033908358,42405.6842363461,5525.239439738584
NG_CC,Central,NaturalGas,2030,-2.3357316081273933e-14,-6.377668441359684e-11,0.0
NG_CC,North,NaturalGas,2020,16.017369483333443,54668.88378356537,5698.456294187936
NG_CC,North,NaturalGas,2030,-1.9464430067728217e-15,-6.643404626416318e-12,0.0
NG_CC,South,NaturalGas,2020,40.13297179876382,164373.41525563295,14277.999017822354
NG_CC,South,NaturalGas,2030,-7.853542825934164e-15,-3.2165912423035076e-11,0.0
NG_CC_CCS,North,NaturalGas,2030,0.0,0.0,0.0
NG_CC_CCS,South,NaturalGas,2030,-1.9416092712028836e-15,-2.166835946662418e-11,0.0
NG_GT,Central,NaturalGas,2020,4.120019999999999,91652.316912,2271.339833868
NG_GT,Central,NaturalGas,2030,0.0,0.0,0.0
NG_GT,North,NaturalGas,2020,3.934216969585145,109398.77127325413,2168.9078495002836
NG_GT,North,NaturalGas,2030,0.0,0.0,0.0
NG_GT,South,NaturalGas,2020,3.5571224761289373,118695.48563246083,1961.0181440815443
NG_GT,South,NaturalGas,2030,0.0,0.0,0.0
Nuclear,Central,Uranium,2030,0.0,0.0,0.0
Nuclear,North,Uranium,2030,0.0,0.0,0.0
Residential_PV,Central,Solar,2020,0.0,0.0,0.0
Residential_PV,Central,Solar,2030,1.4604156,0.0,0.0
Residential_PV,North,Solar,2020,0.0,0.0,0.0
Residential_PV,North,Solar,2030,0.0,0.0,0.0
Residential_PV,South,Solar,2020,0.0,0.0,0.0
Residential_PV,South,Solar,2030,0.0,0.0,0.0
Wind,Central,Wind,2020,3.984125529488116e-15,0.0,0.0
Wind,Central,Wind,2030,50.363475120000004,0.0,0.0
Wind,North,Wind,2020,0.0,0.0,0.0
Wind,North,Wind,2030,21.39294450852509,0.0,0.0
