PERIOD,Component,Component_type,AnnualCost_NPV,AnnualCost_Real
2020,TotalGenFixedCosts,annual,29921066.881372545,4272093.84150613
2020,LocalTDFixedCosts,annual,14240596.001031432,2033255.1214361135
2020,FuelCostsPerPeriod,annual,22629292.209267963,3230983.048436729
2020,TxFixedCosts,annual,1306842.4485104633,186589.3886148835
2030,TotalGenFixedCosts,annual,40175658.61165898,9343717.614180015
2030,LocalTDFixedCosts,annual,11068169.15288622,2574141.9218585
2030,FuelCostsPerPeriod,annual,6535818.979363406,1520045.9440096824
2030,TxFixedCosts,annual,802287.8994302305,186589.3886148835
2020,GenVariableOMCostsInTP,timepoint,12740129.111996686,1819020.2687337236
2030,GenVariableOMCostsInTP,timepoint,8786535.976702211,2043498.8201864534
