,generation_project,timepoint,load_zone,TECH_TYPE,period,total_dispatch_GWh,ccs_value_x,dispatch_after_ccs,ccs_load,ccs_value_y,zonal_dispatch,proportion,tx_losses,prev_gen_tech
0,N-Geothermal,1,North,Geothermal,2020,10.61316545328,0.0,10.61316545328,0.0,0.0,57.85343189017952,0.18344919405,0.0,10.05066768425616
1,N-Coal_IGCC,1,North,Coal_IGCC,2020,0.0,0.0,0.0,0.0,0.0,57.85343189017952,0.0,0.0,0.0
2,N-Coal_ST,1,North,Coal_ST,2020,18.539988479999998,0.0,18.539988479999998,0.0,0.0,57.85343189017952,0.32046479999999994,0.0,17.557369090559998
3,N-NG_CC,1,North,NG_CC,2020,8.100290756899525,0.0,8.100290756899525,0.0,0.0,57.85343189017952,0.1400140059500002,0.0,7.67097534678385
4,N-NG_GT,1,North,NG_GT,2020,20.599987199999998,0.0,20.599987199999998,0.0,0.0,57.85343189017952,0.3560719999999999,0.0,19.508187878399998
5,N-Biomass_IGCC,1,North,Biomass_IGCC,2020,0.0,0.0,0.0,0.0,0.0,57.85343189017952,0.0,0.0,0.0
6,N-Residential_PV,1,North,Residential_PV,2020,0.0,0.0,0.0,0.0,0.0,57.85343189017952,0.0,0.0,0.0
7,N-Commercial_PV,1,North,Commercial_PV,2020,0.0,0.0,0.0,0.0,0.0,57.85343189017952,0.0,0.0,0.0
8,N-Central_PV-1,1,North,Central_PV,2020,0.0,0.0,0.0,0.0,0.0,57.85343189017952,0.0,0.0,0.0
9,N-Central_PV-2,1,North,Central_PV,2020,0.0,0.0,0.0,0.0,0.0,57.85343189017952,0.0,0.0,0.0
10,N-Wind-1,1,North,Wind,2020,0.0,0.0,0.0,0.0,0.0,57.85343189017952,0.0,0.0,0.0
11,N-Wind-2,1,North,Wind,2020,0.0,0.0,0.0,0.0,0.0,57.85343189017952,0.0,0.0,0.0
12,N-Geothermal,2,North,Geothermal,2020,10.61316545328,0.0,10.61316545328,0.0,0.0,46.282745512143634,0.22931149256249989,0.0,10.05066768425616
13,N-Coal_IGCC,2,North,Coal_IGCC,2020,0.0,0.0,0.0,0.0,0.0,46.282745512143634,0.0,0.0,0.0
14,N-Coal_ST,2,North,Coal_ST,2020,18.539988479999998,0.0,18.539988479999998,0.0,0.0,46.282745512143634,0.40058099999999974,0.0,17.557369090559998
15,N-NG_CC,2,North,NG_CC,2020,0.0,0.0,0.0,0.0,0.0,46.282745512143634,0.0,0.0,0.0
16,N-NG_GT,2,North,NG_GT,2020,17.12959157886364,0.0,17.12959157886364,0.0,0.0,46.282745512143634,0.3701075074375004,0.0,16.221723225183865
17,N-Biomass_IGCC,2,North,Biomass_IGCC,2020,0.0,0.0,0.0,0.0,0.0,46.282745512143634,0.0,0.0,0.0
18,N-Residential_PV,2,North,Residential_PV,2020,0.0,0.0,0.0,0.0,0.0,46.282745512143634,0.0,0.0,0.0
19,N-Commercial_PV,2,North,Commercial_PV,2020,0.0,0.0,0.0,0.0,0.0,46.282745512143634,0.0,0.0,0.0
20,N-Central_PV-1,2,North,Central_PV,2020,0.0,0.0,0.0,0.0,0.0,46.282745512143634,0.0,0.0,0.0
21,N-Central_PV-2,2,North,Central_PV,2020,0.0,0.0,0.0,0.0,0.0,46.282745512143634,0.0,0.0,0.0
22,N-Wind-1,2,North,Wind,2020,0.0,0.0,0.0,0.0,0.0,46.282745512143634,0.0,0.0,0.0
23,N-Wind-2,2,North,Wind,2020,0.0,0.0,0.0,0.0,0.0,46.282745512143634,0.0,0.0,0.0
24,N-Geothermal,3,North,Geothermal,2020,10.61316545328,0.0,10.61316545328,0.0,0.0,52.06808870116157,0.20383243783333332,0.0,10.05066768425616
25,N-Coal_IGCC,3,North,Coal_IGCC,2020,0.0,0.0,0.0,0.0,0.0,52.06808870116157,0.0,0.0,0.0
26,N-Coal_ST,3,North,Coal_ST,2020,18.539988479999998,0.0,18.539988479999998,0.0,0.0,52.06808870116157,0.3560719999999999,0.0,17.557369090559998
27,N-NG_CC,3,North,NG_CC,2020,2.3149475678815703,0.0,2.3149475678815703,0.0,0.0,52.06808870116157,0.04446000661111125,0.0,2.192255346783847
28,N-NG_GT,3,North,NG_GT,2020,20.599987199999998,0.0,20.599987199999998,0.0,0.0,52.06808870116157,0.39563555555555546,0.0,19.508187878399998
29,N-Biomass_IGCC,3,North,Biomass_IGCC,2020,0.0,0.0,0.0,0.0,0.0,52.06808870116157,0.0,0.0,0.0
30,N-Residential_PV,3,North,Residential_PV,2020,0.0,0.0,0.0,0.0,0.0,52.06808870116157,0.0,0.0,0.0
31,N-Commercial_PV,3,North,Commercial_PV,2020,0.0,0.0,0.0,0.0,0.0,52.06808870116157,0.0,0.0,0.0
32,N-Central_PV-1,3,North,Central_PV,2020,0.0,0.0,0.0,0.0,0.0,52.06808870116157,0.0,0.0,0.0
33,N-Central_PV-2,3,North,Central_PV,2020,0.0,0.0,0.0,0.0,0.0,52.06808870116157,0.0,0.0,0.0
34,N-Wind-1,3,North,Wind,2020,0.0,0.0,0.0,0.0,0.0,52.06808870116157,0.0,0.0,0.0
35,N-Wind-2,3,North,Wind,2020,0.0,0.0,0.0,0.0,0.0,52.06808870116157,0.0,0.0,0.0
36,N-Geothermal,4,North,Geothermal,2020,10.61316545328,0.0,10.61316545328,0.0,0.0,48.5968827877508,0.2183918976785714,0.0,10.05066768425616
37,N-Coal_IGCC,4,North,Coal_IGCC,2020,0.0,0.0,0.0,0.0,0.0,48.5968827877508,0.0,0.0,0.0
38,N-Coal_ST,4,North,Coal_ST,2020,18.539988479999998,0.0,18.539988479999998,0.0,0.0,48.5968827877508,0.38150571428571417,0.0,17.557369090559998
39,N-NG_CC,4,North,NG_CC,2020,0.0,0.0,0.0,0.0,0.0,48.5968827877508,0.0,0.0,0.0
40,N-NG_GT,4,North,NG_GT,2020,19.4437288544708,0.0,19.4437288544708,0.0,0.0,48.5968827877508,0.40010238803571435,0.0,18.413211225183844
41,N-Biomass_IGCC,4,North,Biomass_IGCC,2020,0.0,0.0,0.0,0.0,0.0,48.5968827877508,0.0,0.0,0.0
42,N-Residential_PV,4,North,Residential_PV,2020,0.0,0.0,0.0,0.0,0.0,48.5968827877508,0.0,0.0,0.0
43,N-Commercial_PV,4,North,Commercial_PV,2020,0.0,0.0,0.0,0.0,0.0,48.5968827877508,0.0,0.0,0.0
44,N-Central_PV-1,4,North,Central_PV,2020,0.0,0.0,0.0,0.0,0.0,48.5968827877508,0.0,0.0,0.0
45,N-Central_PV-2,4,North,Central_PV,2020,0.0,0.0,0.0,0.0,0.0,48.5968827877508,0.0,0.0,0.0
46,N-Wind-1,4,North,Wind,2020,0.0,0.0,0.0,0.0,0.0,48.5968827877508,0.0,0.0,0.0
47,N-Wind-2,4,North,Wind,2020,0.0,0.0,0.0,0.0,0.0,48.5968827877508,0.0,0.0,0.0
48,N-Geothermal,5,North,Geothermal,2020,21.22644713625,0.0,21.22644713625,0.0,0.0,92.56599788806764,0.22931149256249983,0.0,20.101445438028748
49,N-Coal_IGCC,5,North,Coal_IGCC,2020,0.0,0.0,0.0,0.0,0.0,92.56599788806764,0.0,0.0,0.0
50,N-Coal_ST,5,North,Coal_ST,2020,37.08018,0.0,37.08018,0.0,0.0,92.56599788806764,0.40058099999999974,0.0,35.11493046
51,N-NG_CC,5,North,NG_CC,2020,0.0,0.0,0.0,0.0,0.0,92.56599788806764,0.0,0.0,0.0
52,N-NG_GT,5,North,NG_GT,2020,34.259370751817634,0.0,34.259370751817634,0.0,0.0,92.56599788806764,0.3701075074375003,0.0,32.443624101971295
