RFM_SUPPLY_TIERS_1,RFM_SUPPLY_TIERS_2,RFM_SUPPLY_TIERS_3,ConsumeFuelTier
All_DistOil,2020,0,0.0
All_DistOil,2030,0,0.0
All_NG,2020,0,601261.978499787
All_NG,2020,1,0.0
All_NG,2030,0,0.0
All_NG,2030,1,0.0
Central_Coal,2020,0,153976.841093255
Central_Coal,2030,0,13072.5786600248
Central_ResidualFuelOil,2020,0,0.0
Central_ResidualFuelOil,2030,0,0.0
Central_Uranium,2020,0,0.0
Central_Uranium,2030,0,0.0
North_Bio,2020,0,0.0
North_Bio,2020,1,0.0
North_Bio,2030,0,0.0
North_Bio,2030,1,0.0
North_Coal,2020,0,133488.282528
North_Coal,2030,0,484957.623982407
North_ResidualFuelOil,2020,0,0.0
North_ResidualFuelOil,2030,0,0.0
North_Uranium,2020,0,0.0
North_Uranium,2030,0,0.0
South_Bio,2020,0,0.0
South_Bio,2020,1,0.0
South_Bio,2030,0,537445.688937578
South_Bio,2030,1,0.0
South_ResidualFuelOil,2020,0,0.0
South_ResidualFuelOil,2030,0,0.0
South_Uranium,2020,0,0.0
South_Uranium,2030,0,0.0
