PERIOD,Component,Component_type,AnnualCost_NPV,AnnualCost_Real
2020,TotalGenFixedCosts,annual,29513358.011266537,4213881.660770301
2020,LocalTDFixedCosts,annual,14240596.001031432,2033255.1214361135
2020,FuelCostsPerPeriod,annual,23136670.55036358,3303425.9160290477
2020,TxFixedCosts,annual,1306842.4485104633,186589.3886148835
2030,TotalGenFixedCosts,annual,36577413.46785916,8506867.94719028
2030,LocalTDFixedCosts,annual,11068169.15288622,2574141.9218585
2030,FuelCostsPerPeriod,annual,4760233.6288900925,1107095.200001645
2030,TxFixedCosts,annual,891672.7000318365,207377.75561825163
2020,GenVariableOMCostsInTP,timepoint,13159511.848855993,1878899.2300847315
2030,GenVariableOMCostsInTP,timepoint,6815275.041060259,1585039.490258816
