TRANS_TIMEPOINTS_1,TRANS_TIMEPOINTS_2,TRANS_TIMEPOINTS_3,DispatchTx
Central,North,1,2.72838572438182
Central,North,2,1.62842092325546
Central,North,3,2.17840332381864
Central,North,4,1.84841388348073
Central,North,5,1.62842092325546
Central,North,6,1.87001719217485
Central,North,7,0.0
Central,South,1,1.33753842283032
Central,South,2,3.1766795703136
Central,South,3,1.99311744430162
Central,South,4,2.63989674736393
Central,South,5,3.1766795703136
Central,South,6,3.14246791575862
Central,South,7,8.70415206952527
North,Central,1,0.0
North,Central,2,0.0
North,Central,3,0.0
North,Central,4,0.0
North,Central,5,0.0
North,Central,6,0.0
North,Central,7,0.343622406756573
South,Central,1,0.0
South,Central,2,0.0
South,Central,3,0.0
South,Central,4,0.0
South,Central,5,0.0
South,Central,6,0.0
South,Central,7,0.0
